region_name,location_name,iso3,sex_name,year,number_suicides_2021,crude_suicide_rate_2021,age_standardized_suicide_rate_2021,data_quality,income_group
Western Pacific Region,Malaysia,MYS,Males,2021,1584,8.8,8.8,Low,UMI
Western Pacific Region,Micronesia (Federated States of),FSM,Both sexes,2021,22,19.8,20.8,Low,LMI
Western Pacific Region,Micronesia (Federated States of),FSM,Females,2021,5,8.6,8.9,Low,LMI
Western Pacific Region,Micronesia (Federated States of),FSM,Males,2021,17,31.1,33.1,Low,LMI
Western Pacific Region,Mongolia,MNG,Both sexes,2021,618,18.5,19.8,High,UMI
Western Pacific Region,Mongolia,MNG,Females,2021,81,4.8,5.4,High,UMI
Western Pacific Region,Mongolia,MNG,Males,2021,537,32.2,34.5,High,UMI
Western Pacific Region,New Zealand,NZL,Both sexes,2021,609,11.9,11.1,High,HI
Western Pacific Region,New Zealand,NZL,Females,2021,156,6.1,5.8,High,HI
Western Pacific Region,New Zealand,NZL,Males,2021,453,17.9,16.5,High,HI
Western Pacific Region,Papua New Guinea,PNG,Both sexes,2021,182,1.8,2.1,Very low,LMI
Western Pacific Region,Papua New Guinea,PNG,Females,2021,68,1.4,1.6,Very low,LMI
Western Pacific Region,Papua New Guinea,PNG,Males,2021,114,2.2,2.7,Very low,LMI
Western Pacific Region,Philippines,PHL,Both sexes,2021,3947,3.5,4.0,Medium,LMI
Western Pacific Region,Philippines,PHL,Females,2021,1000,1.8,2.1,Medium,LMI
Western Pacific Region,Philippines,PHL,Males,2021,2946,5.2,6.1,Medium,LMI
Western Pacific Region,Republic of Korea,KOR,Both sexes,2021,14273,27.5,20.6,High,HI
Western Pacific Region,Republic of Korea,KOR,Females,2021,4399,16.9,13.6,High,HI
Western Pacific Region,Republic of Korea,KOR,Males,2021,9874,38.2,28.2,High,HI
Western Pacific Region,Samoa,WSM,Both sexes,2021,26,12.0,14.3,Very low,LMI
Western Pacific Region,Samoa,WSM,Females,2021,7,7.0,8.0,Very low,LMI
Western Pacific Region,Samoa,WSM,Males,2021,18,17.0,20.8,Very low,LMI
Western Pacific Region,Singapore,SGP,Both sexes,2021,449,8.1,7.0,High,HI
Western Pacific Region,Singapore,SGP,Females,2021,131,4.9,4.3,High,HI
Western Pacific Region,Singapore,SGP,Males,2021,318,11.1,9.6,High,HI
Western Pacific Region,Solomon Islands,SLB,Both sexes,2021,149,19.6,22.5,Low,LMI
Western Pacific Region,Solomon Islands,SLB,Females,2021,36,9.6,10.9,Low,LMI
Western Pacific Region,Solomon Islands,SLB,Males,2021,114,29.2,33.7,Low,LMI
Western Pacific Region,Tonga,TON,Both sexes,2021,5,4.7,5.4,Very low,UMI
Western Pacific Region,Tonga,TON,Females,2021,2,3.5,3.8,Very low,UMI
Western Pacific Region,Tonga,TON,Males,2021,3,6.0,7.3,Very low,UMI
Western Pacific Region,Vanuatu,VUT,Both sexes,2021,48,15.7,18.2,Very low,LMI
Western Pacific Region,Vanuatu,VUT,Females,2021,10,6.6,7.6,Very low,LMI
Western Pacific Region,Vanuatu,VUT,Males,2021,38,24.7,28.9,Very low,LMI
Western Pacific Region,Viet Nam,VNM,Both sexes,2021,7222,7.3,7.0,Very low,LMI
Western Pacific Region,Viet Nam,VNM,Females,2021,2191,4.3,3.9,Very low,LMI
Western Pacific Region,Viet Nam,VNM,Males,2021,5031,10.4,10.5,Very low,LMI
