source_type,name,reason
GBD,Innlandet,unmatched
GBD,Iowa,unmatched
GBD,Isabela,unmatched
GBD,Isfahan,unmatched
GBD,Ishikawa,unmatched
GBD,Isiolo,unmatched
GBD,Islamabad Capital Territory,unmatched
GBD,Iwate,unmatched
GBD,Jakarta,unmatched
GBD,Jalisco,unmatched
GBD,Jambi,unmatched
GBD,Jammu and Kashmir,unmatched
GBD,Jharkhand,unmatched
GBD,Jigawa,unmatched
GBD,Kaduna,unmatched
GBD,Kagawa,unmatched
GBD,Kagoshima,unmatched
GBD,Kajiado,unmatched
GBD,Kakamega,unmatched
GBD,Kalinga,unmatched
GBD,Kanagawa,unmatched
GBD,Kano,unmatched
GBD,Kansas,unmatched
GBD,Karnataka,unmatched
GBD,Katsina,unmatched
GBD,Kebbi,unmatched
GBD,Kentucky,unmatched
GBD,Kerala,unmatched
GBD,Kericho,unmatched
GBD,Kerman,unmatched
GBD,Kermanshah,unmatched
GBD,Khorasan-e-Razavi,unmatched
GBD,Khuzestan,unmatched
GBD,Khyber Pakhtunkhwa,unmatched
GBD,Kiambu,unmatched
GBD,Kilifi,unmatched
GBD,Kirinyaga,unmatched
GBD,Kisii,unmatched
GBD,Kisumu,unmatched
GBD,Kitui,unmatched
GBD,Kogi,unmatched
GBD,Kohgiluyeh and Boyer-Ahmad,unmatched
GBD,Kujawsko-Pomorskie,unmatched
GBD,Kumamoto,unmatched
GBD,Kurdistan,unmatched
GBD,KwaZulu-Natal,unmatched
GBD,Kwale,unmatched
GBD,Kwara,unmatched
GBD,Kyōto,unmatched
GBD,Kōchi,unmatched
GBD,La Union,unmatched
GBD,Lagos,unmatched
GBD,Laguna,unmatched
GBD,Laikipia,unmatched
GBD,Lampung,unmatched
GBD,Lamu,unmatched
GBD,Lanao Del Norte,unmatched
GBD,Lanao Del Sur,unmatched
GBD,Latin America & Caribbean - WB,unmatched
GBD,Latin America and Caribbean,unmatched
GBD,Lazio,unmatched
GBD,League of Arab States,unmatched
GBD,Leyte,unmatched
GBD,Liguria,unmatched
GBD,Limpopo,unmatched
GBD,Lombardia,unmatched
GBD,Lorestan,unmatched
GBD,Louisiana,unmatched
GBD,Low SDI,unmatched
GBD,Low-middle SDI,unmatched
GBD,Lubelskie,unmatched
GBD,Lubuskie,unmatched
GBD,Machakos,unmatched
GBD,Madhya Pradesh,unmatched
GBD,Maguindanao,unmatched
GBD,Maharashtra,unmatched
GBD,Maine,unmatched
GBD,Makueni,unmatched
GBD,Maluku,unmatched
GBD,Mandera,unmatched
GBD,Manipur,unmatched
GBD,Maranhão,unmatched
GBD,Marche,unmatched
GBD,Marinduque,unmatched
GBD,Markazi,unmatched
GBD,Marsabit,unmatched
GBD,Maryland,unmatched
GBD,Masbate,unmatched
GBD,Massachusetts,unmatched
GBD,Mato Grosso,unmatched
GBD,Mato Grosso do Sul,unmatched
GBD,Mazandaran,unmatched
GBD,Mazowieckie,unmatched
GBD,Małopolskie,unmatched
GBD,Meghalaya,unmatched
GBD,Melanesia,unmatched
GBD,Meru,unmatched
GBD,Mexico City,unmatched
GBD,Michigan,unmatched
GBD,Michoacán de Ocampo,unmatched
GBD,Middle East & North Africa - WB,unmatched
GBD,Middle SDI,unmatched
GBD,Mie,unmatched
GBD,Migori,unmatched
GBD,Minas Gerais,unmatched
GBD,Minnesota,unmatched
GBD,Misamis Occidental,unmatched
GBD,Misamis Oriental,unmatched
GBD,Mississippi,unmatched
GBD,Missouri,unmatched
GBD,Miyagi,unmatched
GBD,Miyazaki,unmatched
GBD,Mizoram,unmatched
GBD,Molise,unmatched
GBD,Mombasa,unmatched
GBD,Montana,unmatched
GBD,Morelos,unmatched
GBD,Mountain Province,unmatched
GBD,Mpumalanga,unmatched
GBD,Murang'a,unmatched
GBD,Møre og Romsdal,unmatched
GBD,Nagaland,unmatched
GBD,Nagano,unmatched
GBD,Nagasaki,unmatched
GBD,Nairobi,unmatched
GBD,Nakuru,unmatched
GBD,Nandi,unmatched
GBD,Nara,unmatched
GBD,Narok,unmatched
GBD,Nasarawa,unmatched
GBD,National Capital Region,unmatched
GBD,Nayarit,unmatched
GBD,Nebraska,unmatched
GBD,Negros Occidental,unmatched
GBD,Negros Oriental,unmatched
GBD,Nevada,unmatched
GBD,New Hampshire,unmatched
GBD,New Jersey,unmatched
GBD,New Mexico,unmatched
GBD,New York,unmatched
GBD,Niigata,unmatched
GBD,Nordic Region,unmatched
GBD,Nordland,unmatched
GBD,North Africa and Middle East,unmatched
GBD,North America,unmatched
GBD,North Carolina,unmatched
GBD,North Dakota,unmatched
GBD,North East England,unmatched
GBD,North Kalimantan,unmatched
GBD,North Khorasan,unmatched
GBD,North Maluku,unmatched
GBD,North Sulawesi,unmatched
GBD,North Sumatra,unmatched
GBD,North West England,unmatched
GBD,North-West,unmatched
GBD,Northern Africa,unmatched
GBD,Northern Cape,unmatched
GBD,Northern Ireland,unmatched
GBD,Northern Samar,unmatched
GBD,Nueva Ecija,unmatched
GBD,Nueva Vizcaya,unmatched
GBD,Nuevo León,unmatched
GBD,Nyamira,unmatched
GBD,Nyandarua,unmatched
GBD,Nyeri,unmatched
GBD,OECD Countries,unmatched
GBD,Oaxaca,unmatched
GBD,Occidental Mindoro,unmatched
GBD,Oceania,unmatched
GBD,Odisha,unmatched
GBD,Ogun,unmatched
GBD,Ohio,unmatched
GBD,Okayama,unmatched
GBD,Okinawa,unmatched
GBD,Oklahoma,unmatched
GBD,Ondo,unmatched
GBD,Opolskie,unmatched
GBD,Oregon,unmatched
GBD,Organization of Islamic Cooperation,unmatched
GBD,Oriental Mindoro,unmatched
GBD,Oromia,unmatched
GBD,Oslo,unmatched
GBD,Osun,unmatched
GBD,Other Union Territories,unmatched
GBD,Oyo,unmatched
GBD,Palawan,unmatched
GBD,Pampanga,unmatched
GBD,Pangasinan,unmatched
GBD,Papua,unmatched
GBD,Paraná,unmatched
GBD,Paraíba,unmatched
GBD,Pará,unmatched
GBD,Pennsylvania,unmatched
GBD,Pernambuco,unmatched
GBD,Piaui,unmatched
GBD,Piemonte,unmatched
GBD,Plateau,unmatched
GBD,Podkarpackie,unmatched
GBD,Podlaskie,unmatched
GBD,Polynesia,unmatched
GBD,Pomorskie,unmatched
GBD,Provincia autonoma di Bolzano,unmatched
GBD,Provincia autonoma di Trento,unmatched
GBD,Puebla,unmatched
GBD,Puglia,unmatched
GBD,Punjab,unmatched
GBD,Qazvin,unmatched
GBD,Qom,unmatched
GBD,Querétaro,unmatched
GBD,Quezon,unmatched
GBD,Quintana Roo,unmatched
GBD,Quirino,unmatched
GBD,Rajasthan,unmatched
