antecedents,consequents,support,confidence,lift
gdp_per_capita_usd=low + income_group=LI + life_expectancy_years=low,suicide=high,0.06,0.524,1.571
gdp_per_capita_usd=low + health_exp_per_capita_usd=low + income_group=LI + life_expectancy_years=low,suicide=high,0.06,0.524,1.571
addiction_death_rate=high + alcohol_litres_per_capita=high + health_exp_per_capita_usd=high + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + alcohol_litres_per_capita=high + gdp_per_capita_usd=high + health_exp_per_capita_usd=high + income_group=HI + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + alcohol_litres_per_capita=high + health_exp_per_capita_usd=high + income_group=HI + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + alcohol_litres_per_capita=high + gdp_per_capita_usd=high + health_exp_per_capita_usd=high + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + gdp_per_capita_usd=high + health_exp_per_capita_usd=high + income_group=HI + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + health_exp_per_capita_usd=high + income_group=HI + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + health_exp_per_capita_usd=high + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + alcohol_litres_per_capita=high + gdp_per_capita_usd=high + income_group=HI + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + alcohol_litres_per_capita=high + gdp_per_capita_usd=high + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + gdp_per_capita_usd=high + income_group=HI + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + gdp_per_capita_usd=high + health_exp_per_capita_usd=high + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + income_group=HI + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + gdp_per_capita_usd=high + region_name=European Region,suicide=high,0.066,0.522,1.565
addiction_death_rate=high + alcohol_litres_per_capita=high + income_group=HI + region_name=European Region,suicide=high,0.066,0.522,1.565
