feature_set,model,mae_mean,mae_std,r2_mean,r2_std
leaky_with_selfharm,Baseline(mean),4.676413998566639,0.4436435319381384,-0.005770643252241347,0.00631001375535981
leaky_with_selfharm,Ridge,2.10991822632554,0.3076517667515825,0.7531153545069861,0.04620412201632267
leaky_with_selfharm,RandomForest,2.3334454954954955,0.4627068486837955,0.6731469370688121,0.050037155928924056
leakage_free_epi_geo,Baseline(mean),4.676413998566639,0.4436435319381384,-0.005770643252241347,0.00631001375535981
leakage_free_epi_geo,Ridge,4.102554314652734,0.80367246016509,0.18885904370970216,0.15447791031615513
leakage_free_epi_geo,RandomForest,4.294112575075076,0.8299927687884366,0.08591117964139965,0.13749869125148342
enriched_covariates,Baseline(mean),4.676413998566639,0.4436435319381384,-0.005770643252241347,0.00631001375535981
enriched_covariates,Ridge,4.099848371245813,0.7359563272224199,0.19268898780545982,0.16293280549338468
enriched_covariates,RandomForest,4.062290915915914,0.7269610907961019,0.14772255413654914,0.27424831394223975
