feature,importance_mean,importance_std
life_expectancy_years,0.561868601312804,0.07171258061053713
alcohol_litres_per_capita,0.25111413928959847,0.01890459467177681
addiction,0.15285884811292266,0.014113442893695274
unemployment_pct,0.14655664186349668,0.01675907336542179
health_exp_per_capita_usd,0.1260282437697134,0.012602915906779415
urban_population_pct,0.11473339793496198,0.01531809027395896
region_name,0.09359686804408171,0.009714460576929988
gdp_per_capita_usd,0.04888194352750884,0.004689799441377758
depression,0.04775505531600618,0.005420138140570867
gini_index,0.04503225043055445,0.0037092016137563136
income_group,0.017169733200077125,0.0024527226331646766
