region_name,year,suicide_rate,diff,zscore
Eastern Mediterranean Region,2011,101.96560704360122,-7.517503816605213,-2.101675344795239
Eastern Mediterranean Region,2020,101.81827101447313,-8.686303102285919,-2.4143061048459393
European Region,2010,86.42892654159046,-2.327647893593536,-2.0123290153905313
Region of the Americas,2005,91.36890908000414,-2.78212352966095,-2.023731989788464
Region of the Americas,2013,93.81791081422296,-2.784646236500109,-2.0254535511104903
Western Pacific Region,2022,77.87489381464736,-3.8997087523664646,-2.201831354025723
South-East Asia Region,2014,78.62498156331228,5.238977778420178,2.1950512570612326
South-East Asia Region,2015,73.25084671626284,-5.374134847049433,-2.477801676487373
